StudyHours,SleepHours,Result
6,7,Pass
3,5,Fail
7,4,Pass
4,9,Pass
6,8,Pass
9,6,Pass
2,7,Fail
6,9,Pass
7,6,Pass
4,6,Fail
3,4,Fail
7,6,Pass
7,8,Pass
2,9,Fail
5,6,Pass
4,4,Fail
1,8,Fail
7,5,Pass
5,9,Pass
1,6,Fail
4,4,Fail
0,5,Fail
9,5,Pass
5,7,Pass
8,8,Pass
0,6,Fail
9,4,Pass
2,7,Fail
6,8,Pass
3,7,Fail
8,9,Pass
2,8,Fail
4,8,Pass
2,6,Fail
6,8,Pass
4,7,Fail
8,8,Pass
6,6,Pass
1,6,Fail
3,9,Fail
8,7,Pass
1,5,Fail
9,5,Pass
8,8,Pass
9,9,Pass
4,4,Fail
1,8,Fail
3,9,Fail
6,7,Pass
7,7,Pass
2,7,Fail
0,7,Fail
3,7,Fail
1,9,Fail
7,9,Pass
3,6,Fail
1,5,Fail
5,7,Pass
5,4,Fail
9,9,Pass
3,4,Fail
5,4,Fail
1,4,Fail
9,6,Pass
1,9,Fail
9,4,Pass
3,7,Fail
7,8,Pass
6,4,Pass
8,6,Pass
7,9,Pass
4,6,Fail
1,4,Fail
4,9,Pass
7,8,Pass
9,4,Pass
8,6,Pass
8,5,Pass
0,7,Fail
8,6,Pass
6,9,Pass
8,4,Pass
7,7,Pass
0,4,Fail
7,9,Pass
7,4,Pass
2,5,Fail
0,7,Fail
7,7,Pass
2,9,Fail
2,5,Fail
0,6,Fail
4,4,Fail
9,8,Pass
6,4,Pass
9,4,Pass
8,6,Pass
6,4,Pass
8,5,Pass
7,5,Pass
